,HINDEX_L1,Hour,CATEGORY
660,5.0,17,unknown
661,6.0,13,"setting fires in nature and in landfills, burning grasses"
662,6.0,23,unknown
663,5.0,5,unknown
664,6.0,12,unknown
665,6.0,15,others
666,3.0,8,others
667,4.0,17,others
668,4.0,11,unknown
669,3.0,18,unknown
670,6.0,16,"setting fires in nature and in landfills, burning grasses"
671,2.0,11,unknown
672,4.0,11,match or lighter
673,2.0,15,"setting fires in nature and in landfills, burning grasses"
674,6.0,13,others
675,3.0,14,unknown
676,4.0,11,others
677,4.0,11,others
678,3.0,19,unknown
679,2.0,18,match or lighter
680,2.0,19,unknown
681,6.0,15,"setting fires in nature and in landfills, burning grasses"
682,3.0,1,unknown
683,6.0,12,others
684,4.0,16,"setting fires in nature and in landfills, burning grasses"
685,6.0,15,"setting fires in nature and in landfills, burning grasses"
686,4.0,18,"setting fires in nature and in landfills, burning grasses"
687,5.0,15,"setting fires in nature and in landfills, burning grasses"
688,2.0,23,unknown
689,3.0,16,unknown
690,2.0,20,unknown
691,5.0,16,match or lighter
692,5.0,16,unknown
693,3.0,20,match or lighter
694,5.0,15,unknown
695,3.0,12,others
696,5.0,17,unknown
697,4.0,17,others
698,6.0,18,unknown
699,3.0,19,unknown
700,6.0,16,unknown
701,3.0,15,"setting fires in nature and in landfills, burning grasses"
702,4.0,7,unknown
703,4.0,14,unknown
704,3.0,11,unknown
705,5.0,13,unknown
706,3.0,18,cigarette butt
707,6.0,14,unknown
708,4.0,11,"setting fires in nature and in landfills, burning grasses"
709,3.0,12,unknown
710,3.0,17,"setting fires in nature and in landfills, burning grasses"
711,3.0,20,"setting fires in nature and in landfills, burning grasses"
712,3.0,15,unknown
713,4.0,15,"setting fires in nature and in landfills, burning grasses"
714,4.0,13,cigarette butt
715,4.0,12,unknown
716,5.0,13,"setting fires in nature and in landfills, burning grasses"
717,5.0,14,unknown
718,3.0,17,unknown
719,2.0,17,others
720,3.0,18,"setting fires in nature and in landfills, burning grasses"
721,3.0,9,unknown
722,4.0,13,unknown
723,6.0,19,arson
724,3.0,16,"setting fires in nature and in landfills, burning grasses"
725,4.0,20,unknown
726,6.0,16,others
727,5.0,13,unknown
728,5.0,22,unknown
729,4.0,18,unknown
730,3.0,19,unknown
731,6.0,16,unknown
732,5.0,17,match or lighter
733,5.0,15,unknown
734,5.0,17,unknown
735,2.0,11,unknown
736,6.0,13,"setting fires in nature and in landfills, burning grasses"
737,5.0,14,unknown
738,3.0,13,unknown
739,5.0,15,unknown
740,6.0,16,unknown
741,5.0,13,unknown
742,2.0,11,"setting fires in nature and in landfills, burning grasses"
743,4.0,14,"setting fires in nature and in landfills, burning grasses"
744,3.0,18,unknown
745,6.0,17,unknown
746,5.0,14,unknown
747,3.0,9,unknown
748,4.0,13,unknown
749,6.0,12,unknown
750,2.0,4,unknown
751,3.0,9,"setting fires in nature and in landfills, burning grasses"
752,3.0,14,"setting fires in nature and in landfills, burning grasses"
753,2.0,11,unknown
754,4.0,18,unknown
755,6.0,12,unknown
756,6.0,12,unknown
757,3.0,21,"setting fires in nature and in landfills, burning grasses"
758,5.0,9,"setting fires in nature and in landfills, burning grasses"
759,6.0,16,unknown
760,3.0,13,"setting fires in nature and in landfills, burning grasses"
761,3.0,19,"setting fires in nature and in landfills, burning grasses"
762,4.0,13,"setting fires in nature and in landfills, burning grasses"
763,3.0,14,"setting fires in nature and in landfills, burning grasses"
764,6.0,15,"setting fires in nature and in landfills, burning grasses"
765,4.0,17,others
766,6.0,13,"setting fires in nature and in landfills, burning grasses"
767,3.0,13,cigarette butt
768,5.0,15,"setting fires in nature and in landfills, burning grasses"
769,3.0,16,"setting fires in nature and in landfills, burning grasses"
770,4.0,17,unknown
771,2.0,8,unknown
772,3.0,13,unknown
773,4.0,19,unknown
774,5.0,14,others
